Clase,Class,Classe,Êëàññ,Klasse,LetterCode,ValueRange,ID
"Elementos binarios, dispositivos de retardo, dispositivos de almacenamiento","binaryelements, delay devices, storage devices",Elementi binari,"äâîè÷íûå ýëåìåíòû, óñòðîéñòâà çàäåðæêè, çàïîìèíàþùèå óñòðîéñòâà","Binäre Elemente, Verzögerungseinrichtungen,Speichereinrichtungen",D, ,17
"Circuitos y dispositivos digitales integrados: línea de retardo, elemento biestable, elemento monoestable, registrador, núcleo magnético, grabador en cinta magnética o almacenamiento en disco","digitalintegrated circuits and devices:delayline,bistableelement,monostableelement,register,magnetic core,magnetictape recorder or disk storage",Circuiti integrati digitali,"äèñêðåòíûå èíòåãðèðóþùèå öåïè è óñòðîéñòâà: ëèíèÿ çàäåðæêè, áèñòàáèëüíûé ýëåìåíò, ìîíîñòàáèëüíûé ýëåìåíò, ðåãèñòð, ìàãíèòíûé ñåðäå÷íèê, çàïèñûâàþùåå óñòðîéñòâî íà ìàãíèòíîé ëåíòå èëè äèñêîâîå çàïîìèíàþùåå óñòðîéñòâî","Integrierte digitale Schaltkreise und Geräte:Verzögerungsleitung,bistabiles Element,monostabiles Element,Register, Kernspeicher,Magnetbandgerät oder Plattenspeicher",D,D,18
Varios,miscellaneous,Varie,ðàçíîå,Verschiedenes,E, ,19
Dispositivo de calefacción,heating device,Dispositivi riscaldanti,íàãðåâàòåëüíîå óñòðîéñòâî,Heizeinrichtung,E,EH,21
Dispostivo de luz,lighting device,Dispositivi di illuminazione,îñâåòèòåëüíîå óñòðîéñòâî,Beleuchtungseinrichtung,E,EL,22
Dispositivos de protección,protective devices,Dispositivi di protezione,óñòðîéñòâà çàùèòû,Schutzeinrichtungen,F, ,24
Fusible,fuse,Fusibili,ïëàâêèé ïðåäîõðàíèòåëü,Sicherung,F,FU,29
Monitor de voltaje,voltagemonitor,Supervisione tensione,ðåëå íàïðÿæåíèÿ,Spannungswächter,F,FV,30
"Terminaciones, transformadores híbridos, filtros, ecualizadores, limitadores","terminations, hybrid transformers, filters, equalizers, limiters","Terminatori, filtri, limitatori, ecc.","êîíòàêòû, êîíöåâûå çàäåëêè, ãèáðèäíûå òðàíñôîðìàòîðû, ôèëüòðû, ýêâàëàéçåðû, îãðàíè÷èòåëè","Abschlüsse, Gabelübertrager, Filter, Entzerrer, Begrenzer",Z,Z,100
"Bobina inducción,captador de ondas,reactor (derivador o secuenciador bobinado)","inductioncoil, wave trap, reactor (shunt or series winding)",Induttanze,"îáìîòêà ðåëå, ðåçîíàíñíûé êîíòóð, øóíò èëè ïîñëåäîâàòåëüíàÿ îáìîòêà","Induktionsspule, Wellensperre, Drosselspule (Nebenschlußoder Reihenschluß)",L,L,47
Motores,motors,Motori,ýëåêòðîäâèãàòåëü,Motoren,M,M,48
Elementos análogos,analogueelements,Dispsositivi analogici,àíàëîãîâûé ýëåìåíò,AnalogeElemente,N,N,49
"Equipo de medición, equipo de testeo","measuring equipment, testing equipment",Strumenti di misura,"èçìåðèòåëüíàÿ àïïàðàòóðà, èñïûòàòåëüíîå îáîðóäîâàíèå","Meßgeräte, Prüfeinrichtungen",P, ,50
"Equipo de medición, escritura y muestra, generador de señales","displaying,writing and counting measuring equipment; signal generator","Generatore di segnale, strumenti di misura con unità di scrittura o visualizzazione","óñòðîéñòâà îòîáðàæåíèÿ è çàïèñè èíôîðìàöèè; ïðîãðàììàòîðû, ãåíåðàòîðû ñèãíàëîâ","anzeigende, schreibende und zählende Meßeinrichtungen ;Signalgenerator",P,P,51
Amperímetro,ammeter,Amperometro,àìïåðìåòð,Amperemeter / Strommesser,P,PA,52
Contador de impulsos,pulsecounter,Conta impulsi,ñ÷åò÷èê èìïóëüñîâ,Impulszähler,P,PC,53
Vatímetro (por horas),watthour meter,Wattora metro,ñ÷åò÷èê ýëåêòðîýíåðãèè,Wattstundenzähler,P,PJ,54
Instrumento de grabación,recording instrument,Strumento di misura con unità di stampa,ñàìîïèùóùèå èçìåðèòåëüíûå ïðèáîðû,schreibendes Meßgerät,P,PS,55
"Reloj, medidor de horas transcurridas","clock,elapsed-hour meter","Orologio, conta ore","÷àñû, èçìåðèòåëè àñòðîíîìè÷åñêîãî âðåìåíè","Uhr, Betriebsstundenzähler",P,PT,56
Voltímetro,voltmeter,Voltmetro / misuratore di tensione,âîëüòìåòð,Voltmeter / Spannungsmesser,P,PV,57
Dispositivo de conmutación para circuitos de potencia,switchingdevices for power circuits,unità di comando per alte correnti,óñòðîéñòâà êîììóòàöèè äëÿ ñèëîâûõ öåïåé,Starkstrom-Schaltgeräte,Q, ,58
Interruptor automático,circuit breaker,Interruttore automatico,àâòîìàòè÷åñêèé âûêëþ÷àòåëü,Leistungsschalter,Q,QF,59
Elemento detector,detecting element,Sensore,"èçìåðèòåëüíûé ïðåîáðàçîâàòåëü, äàò÷èê",Meßfühler (einstufige Digitalfühler) für mechanische undeletronische Erfassung: Flüssigkeits-Füllstandsfühler),S,SL,71
Sensor de presión,pressure sensor,Sensore di pressione,äàò÷èê äàâëåíèÿ,Druckfühler,S,SP,72
"Sensor de posición, sensor de desplazamiento, sensor de proximidad","positionsensor, displacement sensor, proximity switch",Encoder di posizione,"ïîçèöèîííûé äàò÷èê, èçìåðèòåëüíûé ïðåîáðàçîâàòåëü ïåðåìåùåíèÿ, áåñêîíòàêòíûé ïåðåêëþ÷àòåëü",Wegfühler (Positionsschalter) einschl. Näherungsschalter,S,SQ,73
Transformador de corriente,current transformer,Trasformatore di corrente,òðàíñôîðìàòîð òîêà,Stromwandler,T,TA,77
Transformador potencia-control,control power transformer,Trasformatore di comendo,ðåãóëèðóþùèé òðàíñôîðìàòîð,Steuertransformator,T,TC,78
Transformador de potencia,power transformer,Trasformatore di potenza,ñèëîâîé òðàíñôîðìàòîð,Leistungstransformator,T,TM,79
Estabilizador magnético de voltaje,magnetic voltage stabilizer,Stabilizzatore di tensione magnetico,ìàãíèòíûé ñòàáèëèçàòîð íàïðÿæåíèÿ,magnetischer Spannungskonstanthalter,T,TS,80
Transformador de voltaje,voltage transformer,Trasformatore di tensione,òðàíñôîðìàòîð íàïðÿæåíèÿ,Spannungswandler,T,TV,81
"Moduladores, conmutadores","modulators, changers","Modulatori, convertitori","ìîäóëÿòîðû, ïðåîáðàçîâàòåëè","Modulatoren, Umsetzer von elektrischen in andereelektrische Größen",U,U,82
"Tubos, semiconductores","tubes,semiconductors","Tubi, semiconduttori","ýëåêòðîâàêóóìíûå ïðèáîðû, ïîëóïðîâîäíèêîâûå ïðèáîðû","Röhren, Halbleiter",V, ,83
"Tubo de haz de electrones, tubo de descarga gaseosa, diodo, transistor, tiristor","electron-beam tube, gaseous discharge tube, diode,transistor, thyristor","Tubo a raggi, didodi, transistor","ýëåêòðîííî-ëó÷åâàÿ òðóáêà, ãàçîðàçðÿäíàÿ òðóáêà, äèîä, òðàíçèñòîð, òèðèñòîð","Elektronenröhre, Gasentladungsröhre, Diode, Transistor,Thyristor",V,V,84
Rectificador de circuitos de maniobra,rectifier for control circuits,Raddrizzatori per circuito di comando,âûïðÿìèòåëè äëÿ öåïåé êîíòðîëÿ/óïðàâëåíèÿ,Gleichrichter für Steuerstromkreise,V,VC,85
"Rutas de transmisión, guiaondas, antenas aéreas","transmission paths, waveguides, aerials","Linee di trasmissione, antenne","êàíàëû ïåðåäà÷è, âîëíîâîäû, àíòåííû","Übertragungswege, Hohlleiter, Antennen",W,W,86
"Bornes, enchufes, tomas para enchufe","terminals, plugs, sockets","Morsetti, spine, prese","êëåììû, âèëêè, øòåêåðû, ðîçåòêè","Klemmen, Stecker, Steckdosen",X, ,87
Desconexión acoplamiento,disconnecting link,disconnecting link,ñîåäèíèòåëüíûé øíóð,Trennlasche (Brücke),X,XB,88
Toma enchufe para test,test socket,test socket,êîíòðîëüíîå ãíåçäî,Trennlasche (Brücke),X,XJ,89
Enchufe,plug,Spina,âèëêà,Stecker,X,XP,90
Conector,socket,Presa,ðîçåòêà,Steckdose,X,XS,91
Regleta de bornes,terminal strip,Morsettiera,êëåììíàÿ êîëîäêà,Klemmleiste,X,XT,92
Enchufe de bornes,terminal plug,Spina per morsettiera,êàáåëüíûé íàêîíå÷íèê,Klemmstecker,X,XX,93
Dispositivos mecánicos operados eléctricamente,electrically operated mechanical devices,Dispositivi meccanici a comando elettrico,ìåõàíè÷åñêèå óñòðîéñòâà ñ ýëåêòðîóïðàâëåíèåì,elektrisch betätigte mechanische Einrichtungen,Y, ,94
Electroimán,electromagnet,Elettrocalamita,ýëåêòðîìàãíèò,Elektromagnet,Y,YA,95
Freno,brake,Freno,óñïîêîèòåëü,Bremse,Y,YB,96
Acoplamiento,coupling,Frizione,ñîåäèíèòåëüíàÿ ìóôòà,Kupplung,Y,YC,97
Dispositivo magnético de sujeción,magnetic clamping device,Mandrino magnetico o mandrino,óñòðîéñòâî ñ ìàãíèòíîé ôèêñàöèåé,magnetische Spannvorrichtung oder Spanndorn,Y,YH,98
Válvula de solenoide,solenoid valve,Elettrovalvola,ýëåêòðîìàãíèòíûé êëàïàí,Magnetventil,Y,YV,99
"Montajes, submontajes","assemblies, subassemblies",Gruppi funzionali,"ñáîðêè, ïîäñáîðêè","Baugruppen, Teilbaugruppen",A, ,1
Transistor amplificador,transistor amplifier,Amplificatori a transistor,òðàíçèñòîðíûé óñèëèòåëü,Transistorverstärker,A,AD,2
Interruptor electromotor automático,motor circuit-breaker,Salva motore,àâòîìàòè÷åñêèé âûêëþ÷àòåëü ýëåêòðîäâèãàòåëÿ,Motorschutzschalter,Q,QM,60
Desconector,disconnector,Sezionatore,ðàçúåäèíèòåëü,Trennschalter,Q,QS,61
Resistencias eléctricas,resistors,Resistenze,ðåçèñòîðû,Widerstände,R, ,62
Reostato fijo o regulable,fixedor trimming resistor,Resistenza fissa o impostabile,ïîñòîÿííûé èëè ïîäñòðîå÷íûé ðåçèñòîð,fester oder einstellbarer Widerstand,R,R,63
Potenciómetro,potentiometer,Potenziometri,"ïåðåìåííûé ðåçèñòîð, ïîòåíöèîìåòð",Potentiometer,R,RP,64
Reostato derivador,shunt resistor,Resistenza Shunt,øóíòèðóþùèé ðåçèñòîð,Nebenwiderstand,R,RS,65
"Reostato sensible al calor (NTC, PTC)","thermistor (NTC, PTC)","Resistenza dipendente dalla temperatura (NTC, PTC)","òåðìèñòîð (NTC, PTC)","temperaturabhängiger Widerstand (Heiß-, Kaltleiter)",R,RT,66
Reostato dependiente de voltaje (VDR),voltage dependant resistor (VDR),Resistenza dipendente dalla tensione (Varistor),âàðèñòîð (VDR),spannungsabhängiger Widerstand (Varistor),R,RV,67
"Dispositivo de conmutación para circuítos de maniobra, selectores","switchingdevices for control circuits, selectors",Selettore,"êîììóòàöèîííûå óñòðîéñòâà äëÿ öåïåé êîíòðîëÿ/óïðàâëåíèÿ, ñåëåêòîðû","Schalter, Wähler",S, ,68
Interruptor selector o interruptor de regulación,selectorswitch or control switch,Interuttore selettore,"ìíîãîïîçèöèîííûé ïåðåêëþ÷àòåëü, óïðàâëÿþùèé ïåðåêëþ÷àòåëü",Wahl- oder Steuerschalter,S,SA,69
Pulsador,pushbutton,Pulsante,êíîïêà,Drucktaster (einschl. elektronische berührungsloswirkende Befehlsgeräte),S,SB,70
Monitor de velocidad,speed monitor,speed monitor,ñïèäîìåòð,Drehzahlwächter,S,SR,74
Detector de temperatura,temperature detector,Sensore di temperatura,òåðìî÷óâñòâèòåëüíûé ýëåìåíò,Temperaturfühler,S,ST,75
Transformadores,transformers,Trasformatori,"ïðåîáðàçîâàòåëè, òðàíñôîðìàòîðû",Transformatoren,T, ,76
